DR Number,date_rptd,date_occ,Time Occurred,area,area_name,Reporting District,Crime Code,Crime Code Description,MO Codes,Victim Age,Victim Sex,Victim Descent,Premise Code,Premise Description,Address,Cross Street,Location
211404362,2021-01-08,2021-01-08,730,14,Pacific,1449,997,TRAFFIC COLLISION,3004 3026 3035 3037 3101 3401 3701 4014,26.0,F,H,101.0,STREET,VENICE                       BL,MCLAUGHLIN                   AV,"(34.0086, -118.4245)"
211204720,2021-01-11,2021-01-10,1930,12,77th Street,1245,997,TRAFFIC COLLISION,4012 3037 3028 3030 3101,25.0,F,B,101.0,STREET,FLORENCE                     AV,NORMANDIE                    AV,"(33.9746, -118.3003)"
211404541,2021-01-12,2021-01-11,1245,14,Pacific,1411,997,TRAFFIC COLLISION,3004 3025 3035 3037 3101 3401 3701 4014,34.0,F,B,101.0,STREET,SEPULVEDA                    BL,77TH                         ST,"(33.9918, -118.4791)"
211204730,2021-01-11,2021-01-11,1330,12,77th Street,1273,997,TRAFFIC COLLISION,3037 3101 3004 3028 3030 4025,67.0,M,B,101.0,STREET,MANCHESTER                   AV,W  WESTERN                      AV,"(33.96, -118.309)"
211204829,2021-01-12,2021-01-12,2215,12,77th Street,1257,997,TRAFFIC COLLISION,3004 3026 3037 3101 3030,19.0,F,B,101.0,STREET,76TH                         ST,GRAND                        AV,"(33.9708, -118.2803)"
211204701,2021-01-11,2021-01-11,1035,12,77th Street,1219,997,TRAFFIC COLLISION,0605 3036 3004 3025 3029 3101,44.0,F,B,101.0,STREET,54TH,FLOWER                       ST,"(33.9933, -118.2809)"
211504169,2021-01-05,2021-01-05,2045,15,N Hollywood,1501,997,TRAFFIC COLLISION,3004 3026 3101 4015 3036,18.0,F,H,101.0,STREET,COLDWATER CANYON             AV,CANTARA                      ST,"(34.2199, -118.4144)"
211504170,2021-01-05,2021-01-05,2030,15,N Hollywood,1514,997,TRAFFIC COLLISION,3003 3036 3026 3104 4015,61.0,F,H,101.0,STREET,VANOWEN                      ST,LAUREL CANYON                BL,"(34.194, -118.3965)"
211504265,2021-01-08,2021-01-08,1315,15,N Hollywood,1504,997,TRAFFIC COLLISION,3004 3037 3025 3101 4026,27.0,F,H,101.0,STREET,SHERMAN                      WY,LANKERSHIM                   BL,"(34.2012, -118.3878)"
211604032,2021-01-02,2021-01-02,1600,16,Foothill,1681,997,TRAFFIC COLLISION,3004 3036 3026 3101 4026,49.0,F,H,101.0,STREET,ROSCOE                       BL,LAUREL CANYON                BL,"(34.2217, -118.3965)"
211604126,2021-01-05,2021-01-05,1325,16,Foothill,1668,997,TRAFFIC COLLISION,3004 3037 3026 3101 4026,21.0,M,W,101.0,STREET,FOOTHILL                     BL,MCCLEMONT                    AV,"(34.2529, -118.2956)"
211604127,2021-01-05,2021-01-05,1420,16,Foothill,1601,997,TRAFFIC COLLISION,3004 3036 3025 3101 4026,53.0,M,H,101.0,STREET,VAUGHN                       ST,GLENOAKS                     BL,"(34.2829, -118.4207)"
211604302,2021-01-11,2021-01-11,1200,16,Foothill,1637,997,TRAFFIC COLLISION,3004 3037 3034 3028 3101 4016,27.0,M,O,101.0,STREET,FOOTHILL                     BL,MCVINE                       AV,"(34.2597, -118.3114)"
211604327,2021-01-12,2021-01-12,810,16,Foothill,1654,997,TRAFFIC COLLISION,3004 3037 3026 3101 4026,,M,O,101.0,STREET,GLENOAKS,BRANFORD,"(34.2558, -118.3939)"
